tuning_id,date_created,notes,intervals,interval_values,rating,review,times_tried,tension_score,harmonic_type,root_note,modal_quality,entropy,scale_similarity
1,2025-03-28 05:46:02,"['E', 'D#', 'F#', 'G#', 'C', 'D#']",M3-m3-M2-M3-m3,4-3-2-4-3,,,0,,,E,,,
2,2025-03-28 05:46:03,"['Db', 'D', 'F#', 'G#', 'C', 'E']",M3-M3-M2-M3-M3,4-4-2-4-4,,,0,,,Db,,,
3,2025-03-28 05:46:03,"['Db', 'D', 'D#', 'G', 'A#', 'D']",M3-m2-M3-m3-M3,4-1-4-3-4,,,0,,,Db,,,
4,2025-03-28 05:46:04,"['Eb', 'D#', 'G', 'B', 'C', 'D']",m3-M3-M3-m2-M2,3-4-4-1-2,,,0,,,Eb,,,
5,2025-03-28 05:46:05,"['D', 'B', 'C#', 'D#', 'G', 'A#']",M2-M2-M2-M3-m3,2-2-2-4-3,,,0,,,D,,,
6,2025-03-28 05:46:06,"['D', 'A#', 'C#', 'F', 'G#', 'C']",m2-m3-M3-m3-M3,1-3-4-3-4,,,0,,,D,,,
7,2025-03-28 05:46:06,"['D', 'A#', 'C#', 'E', 'G#', 'A']",m2-m3-m3-M3-m2,1-3-3-4-1,,,0,,,D,,,
8,2025-03-28 05:46:07,"['G', 'F', 'A', 'B', 'D#', 'G']",m3-M3-M2-M3-M3,3-4-2-4-4,,,0,,,G,,,
9,2025-03-28 05:46:07,"['F', 'E', 'G', 'G#', 'C', 'D#']",M3-m3-m2-M3-m3,4-3-1-4-3,,,0,,,F,,,
10,2025-03-28 05:46:07,"['F#', 'E', 'F#', 'A#', 'C', 'D']",m3-M2-M3-M2-M2,3-2-4-2-2,,,0,,,F#,,,
11,2025-03-28 05:46:08,"['G', 'F#', 'A#', 'C#', 'F', 'G#']",M3-M3-m3-M3-m3,4-4-3-4-3,,,0,,,G,,,
12,2025-03-28 05:46:08,"['F', 'D', 'F', 'A', 'C', 'D']",M2-m3-M3-m3-M2,2-3-4-3-2,,,0,,,F,,,
13,2025-03-28 05:46:09,"['Db', 'C#', 'D#', 'G', 'B', 'D#']",m3-M2-M3-M3-M3,3-2-4-4-4,,,0,,,Db,,,
14,2025-03-28 05:46:10,"['Eb', 'E', 'G', 'G#', 'A', 'A#']",M3-m3-m2-m2-m2,4-3-1-1-1,,,0,,,Eb,,,
15,2025-03-28 05:46:10,"['F', 'C#', 'D', 'F#', 'A', 'C']",m2-m2-M3-m3-m3,1-1-4-3-3,,,0,,,F,,,
16,2025-03-28 05:46:11,"['G', 'D#', 'G', 'A#', 'D', 'F#']",m2-M3-m3-M3-M3,1-4-3-4-4,,,0,,,G,,,
17,2025-03-28 05:46:11,"['E', 'D', 'F', 'A', 'C#', 'E']",m3-m3-M3-M3-m3,3-3-4-4-3,,,0,,,E,,,
18,2025-03-28 05:46:12,"['D', 'C', 'C#', 'F', 'F#', 'A#']",m3-m2-M3-m2-M3,3-1-4-1-4,,,0,,,D,,,
19,2025-03-28 05:46:12,"['F#', 'F', 'G#', 'C', 'E', 'F']",M3-m3-M3-M3-m2,4-3-4-4-1,,,0,,,F#,,,
20,2025-03-28 05:46:12,"['F', 'E', 'G', 'B', 'C#', 'F']",M3-m3-M3-M2-M3,4-3-4-2-4,5.0,"Top level tuning, beauitful responant frequencies and haunting chords and bases",0,,,F,,,
21,2025-03-28 06:46:25,"['F#', 'D', 'F', 'A#', 'C', 'E']",m2-m3-P4-M2-M3,1-3-5-2-4,,,0,11.0,Mixed,F#,Neutral,1.0,0.625
22,2025-03-28 06:46:26,"['G', 'F', 'A#', 'B', 'F', 'G']",m3-P4-m2-TT-M2,3-5-1-6-2,,,0,15.0,Mixed,G,Neutral,0.6666666666666666,0.375
23,2025-03-28 06:46:27,"['F', 'F', 'A', 'C', 'D', 'G#']",P4-M3-m3-M2-TT,5-4-3-2-6,,,0,12.0,Mixed,F,Neutral,0.8333333333333334,0.5
24,2025-03-28 07:40:14,"['F', 'F#', 'G#', 'Bb', 'C', 'G']",TT-m3-M3-M2-P4,6-3-4-2-5,,,0,12.0,Mixed,F,Neutral,1.0,0.625
25,2025-03-28 07:40:33,"['F#', 'E', 'F', 'Gb', 'A#', 'E']",m3-m2-M2-P4-M3,3-1-2-5-4,,,0,11.0,Mixed,F#,Neutral,0.8333333333333334,0.5
26,2025-03-28 07:40:46,"['E', 'F', 'Ab', 'Bb', 'C', 'E']",TT-P4-m3-M2-m2,6-5-3-2-1,,,0,15.0,Mixed,E,Neutral,0.8333333333333334,0.5
27,2025-03-28 07:41:00,"['D', 'A', 'F', 'Ab', 'B', 'F']",M2-TT-P4-M3-m3,2-6-5-4-3,,,0,12.0,Mixed,D,Neutral,0.8333333333333334,0.3333333333333333
28,2025-03-28 07:41:14,"['D', 'A#', 'F', 'G#', 'A', 'A#']",m3-P4-M3-M2-m2,3-5-4-2-1,,,0,11.0,Mixed,D,Neutral,0.8333333333333334,0.5
29,2025-03-28 11:08:04,"['E', 'A#', 'F', 'G#', 'A#', 'F#']",m2-P4-M3-m3-TT,1-5-4-3-6,,,0,13.0,Mixed,E,Neutral,0.8333333333333334,0.5
30,2025-03-28 11:08:36,"['Eb', 'F', 'G', 'Ab', 'B', 'C']",P4-m3-M2-M3-m2,5-3-2-4-1,,,0,11.0,Mixed,Eb,Neutral,1.0,0.3
